,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.33,55,100,5.37,overcast clouds
281,Alta Floresta,BR,-9.8756,-56.0861,76.95,55,96,2.04,overcast clouds
282,Hofn,IS,64.2539,-15.2082,42.42,67,100,10.0,overcast clouds
283,Varadero,CU,23.1536,-81.2514,74.16,86,44,6.98,scattered clouds
284,Nantucket,US,41.2835,-70.0995,72.97,94,1,16.11,clear sky
285,Brandon,US,27.9378,-82.2859,77.92,93,40,5.01,scattered clouds
286,Fairbanks,US,64.8378,-147.7164,37.36,71,90,1.01,light snow
287,Codrington,AU,-38.2667,141.9667,48.92,76,100,22.66,overcast clouds
288,Abu Zabad,SD,12.35,29.25,84.49,62,77,16.13,broken clouds
289,Padang,ID,-0.9492,100.3543,87.85,75,97,4.63,overcast clouds
290,Tahta,EG,26.7693,31.5021,88.48,32,0,11.05,clear sky
291,Santa Cruz,BO,-17.8,-63.1667,72.86,46,0,16.11,clear sky
292,Mount Isa,AU,-20.7333,139.5,89.37,10,0,5.75,light rain
293,Okato,NZ,-39.2,173.8833,53.42,91,34,7.58,scattered clouds
294,Montrose,US,38.4166,-108.2673,49.37,34,1,0.56,clear sky
295,Ashcroft,CA,50.7165,-121.2859,55.62,76,8,2.77,clear sky
296,Killybegs,IE,54.6333,-8.45,60.51,96,100,18.48,overcast clouds
297,Constitucion,CL,-35.3333,-72.4167,53.47,73,0,6.08,clear sky
298,San Luis,AR,-33.295,-66.3356,58.46,35,0,7.61,clear sky
299,Dzhebariki-Khaya,RU,62.2167,135.8,49.14,56,20,1.41,few clouds
300,Mopipi,BW,-21.1833,24.8833,79.63,27,0,15.5,clear sky
301,Auki,SB,-8.7676,160.7034,79.2,80,95,0.74,overcast clouds
302,Ancud,CL,-41.8697,-73.8203,51.42,90,86,4.92,overcast clouds
303,Port Hedland,AU,-20.3167,118.5667,91.45,14,2,16.11,clear sky
304,Tanabe,JP,33.7333,135.3667,79.81,61,75,8.05,broken clouds
305,Bosobolo,CD,4.1833,19.9,78.13,77,100,2.84,light rain
306,Salvacion,PH,7.9833,126.1333,81.1,89,100,3.13,overcast clouds
307,Vao,NC,-22.6667,167.4833,68.63,62,100,15.5,overcast clouds
308,Tura,IN,25.5198,90.2201,88.2,63,19,3.89,few clouds
309,Uruzgan,AF,32.8333,66.0,84.06,6,0,7.7,clear sky
310,Buraydah,SA,26.326,43.975,93.65,11,0,7.96,clear sky
311,Isangel,VU,-19.55,169.2667,70.0,73,100,11.92,overcast clouds
312,Cabo San Lucas,MX,22.8909,-109.9124,81.52,82,12,8.01,few clouds
313,Cockburn Town,TC,21.4612,-71.1419,82.31,75,100,6.67,overcast clouds
314,Fortuna,US,40.5982,-124.1573,58.12,88,1,13.8,clear sky
315,Amga,RU,60.8953,131.9608,51.64,58,100,4.34,overcast clouds
316,Palmerston,AU,-12.486,130.9833,90.03,52,20,13.8,few clouds
317,Sharjah,AE,25.3573,55.4033,98.89,50,0,6.91,clear sky
318,Tateyama,JP,34.9833,139.8667,82.42,70,42,10.92,scattered clouds
319,Rehburg-Loccum,DE,52.4667,9.2,60.08,88,75,10.36,broken clouds
320,Obala,CM,4.1667,11.5333,68.61,99,100,2.59,moderate rain
321,Nome,US,64.5011,-165.4064,32.07,74,75,4.61,broken clouds
